Timestamp,Which A/L stream did you choose?,Did everything go well with your A/L exams?,What is your favorite subject? ,Kindly input your O/L exam results [Mathematics],Kindly input your O/L exam results [Science],Kindly input your O/L exam results [Religion],Kindly input your O/L exam results [English],Kindly input your O/L exam results [Sinhala or Tamil],Kindly input your O/L exam results [History],Kindly input your O/L exam results [Basket I],Kindly input your O/L exam results [Basket II],Kindly input your O/L exam results [Basket III],What career are you interested in pursuing? ,Which higher education field are you currently following or have you completed? ,Column 15,"If so, what kind of job do you do? ","On a scale of 1 to 5, how satisfied are you with your current job?  ","If you had the opportunity, would you prefer to do a different job? If yes, what job would you like to do?  ","What advice would you give to students selecting their A/L stream? Additionally, do you have any feedback or suggestions for improving this project? "
05/03/2025 11:36:15,Physical Science,"Mostly, but I faced some challenges",maths,A,A,A,A,B,A,A,C,A,software engineering,software engineering,,,,,
05/03/2025 11:40:06,Physical Science,"Yes, everything went well",maths,A,A,A,A,A,A,A,B,A,software engineer,computer science,I'm currently employed,IT / Software Development,4,,
05/03/2025 12:03:31,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,B,A,A,A,A,A,A,B,Engineering ,Software engineering ,,IT / Software Development,3,,
05/03/2025 12:15:26,Physical Science,"Mostly, but I faced some challenges",ICT,B,C,C,A,B,A,A,A,C,Software Engineer,Software Engineering ,I'm currently employed,IT / Software Development,2,No,Does the favorite subject made an impact when selecting the career path
05/03/2025 12:16:30,Physical Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,A,B,S,A,IT industry,Computer science,,,,,
05/03/2025 12:17:47,Arts,"Mostly, but I faced some challenges",ICT,B,B,C,A,C,A,A,A,B,Software Engineer related,Software engineering ,,,,Artist,
05/03/2025 12:18:44,Physical Science,"Yes, everything went well",Combined maths,A,A,A,A,A,A,A,A,A,Engineering ,Electronics and Telecommunication engineering ,I'm currently employed,Private Sector,3,,
05/03/2025 12:19:19,Physical Science,"Mostly, but I faced some challenges",ICT,A,B,B,A,B,A,B,A,A,Networking ,,,IT / Software Development,4,Developer ,
05/03/2025 12:22:48,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Data Scientist ,Computer Science ,,Private Sector,,,
05/03/2025 12:23:27,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,B,A,A,A,A,B,Software engineer,Software engineering,I'm currently employed,Private Sector,4,,
05/03/2025 12:26:34,Bio Science,"No, I had difficulties",History,A,B,A,A,A,A,A,A,A,Designing ,Bachelors,I'm currently employed,Designing ,4,Marketer,No
05/03/2025 12:28:10,Physical Science,"Yes, everything went well",Maths,A,B,A,A,A,A,A,B,A,Fashion design ,Fashion design ,I'm currently employed,Private Sector,4,Senior fashion designer ,
05/03/2025 12:33:34,Bio Science,"Mostly, but I faced some challenges",English,A,A,A,A,A,A,A,B,A,Software Engineering ,Software Engineering ,I'm currently employed,IT / Software Development,5,,
05/03/2025 12:34:18,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,C,B,B,B,Lecturing,MSC in Information Technology ,I'm currently employed,Private Sector,4,Software Engineering,
05/03/2025 12:34:49,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,C,A,Engineering,Software Engineer ,I'm currently employed,Private Sector,2,,
05/03/2025 12:36:36,Physical Science,"Mostly, but I faced some challenges",Physics,A,A,A,C,B,B,A,B,C,IT,Software Engineering ,I'm currently employed,IT / Software Development,4,No,
05/03/2025 12:37:04,Physical Science,"Yes, everything went well",Combined Maths,A,A,A,A,A,A,A,C,A,Engineering ,,,,,,
05/03/2025 12:40:09,Bio Science,"No, I had difficulties",Physics,A,A,A,A,A,A,A,B,A,Business Analysis,Business Data Analytics ,,,,,
05/03/2025 12:40:33,Physical Science,"Yes, everything went well",Combined Mathematics ,A,A,A,A,A,A,A,B,A,Engineering ,Electronic and Telecommunications Engineering ,,,,,
05/03/2025 12:41:18,Technology,"Mostly, but I faced some challenges",Sinhala,A,C,A,B,A,C,B,C,A,Enouncer,Nothing,I'm currently employed,Private Sector,4,Presenting ,Good
05/03/2025 12:45:41,Bio Science,"Mostly, but I faced some challenges",Physics,A,A,A,A,A,A,A,S,A,Food scientist ,Food science and technology ,,,,,
05/03/2025 12:47:26,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Web development,Information Technology,,,,,
05/03/2025 12:48:22,Physical Science,"Yes, everything went well",Combined Mathematics,A,A,A,A,A,A,A,A,A,Lecturing ,Fashion Designing,I'm currently employed,Teaching / Education,5,Lecturer ,
05/03/2025 12:52:04,Physical Science,"Mostly, but I faced some challenges",Combined Maths,A,A,A,A,A,A,A,A,A,Software Engineer,Software Engineering,,IT / Software Development,,"Data Engineer, Lecturer",
05/03/2025 12:53:27,Bio Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,C,B,A,C,Healthcare,Medical administration,I'm currently employed,Private Sector,4,Quality Assurance - Healthcare,
05/03/2025 12:55:07,Physical Science,"Yes, everything went well",Mathematics ,A,A,A,A,A,A,A,B,A,Business Analyst ,"Industrial Management, mathematics and statistics ",I'm currently employed,Private Sector,4,Business Analysts ,
05/03/2025 13:01:21,Physical Science,"Yes, everything went well",Combined maths,A,A,A,C,A,A,A,A,A,Engineering ,Computer engineering ,,,,Yes,
05/03/2025 13:01:38,Physical Science,"Yes, everything went well",Maths ,A,A,A,A,A,A,A,A,A,IT,IT,I'm currently employed,Private Sector,3,,
05/03/2025 13:01:57,Commerce,"Mostly, but I faced some challenges",Economica,A,C,C,C,B,C,B,B,B,To be banker,I’m done with business management and leadership degree ,,Private Sector,3,No,No need more improvements
05/03/2025 13:03:09,Physical Science,"Yes, everything went well",Maths,A,A,A,A,A,A,A,A,A,IT ,It,,Private Sector,,,
05/03/2025 13:04:57,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,A,B,A,software engineering.,software engineering.,I'm currently employed,Private Sector,4,,
05/03/2025 13:06:49,Physical Science,"No, I had difficulties",Physics,A,B,A,A,A,A,A,A,C,Artificial intelligence ,Information technology ,,,,,
05/03/2025 13:10:13,Physical Science,"Mostly, but I faced some challenges",Maths,A,A,A,A,A,A,B,B,A,Buisness ,Undergraduate Electroic and telecommunication engineer ,,,,,
05/03/2025 13:11:19,Bio Science,"Mostly, but I faced some challenges",Biology ,A,A,A,A,A,A,A,A,A,In food science field,Food science and technology ,,,,,
05/03/2025 13:15:48,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,A,B,C,A,A,C,Maritime,Maritime science ,I'm currently employed,Merchant navy ships' officer,5,No,None 🙏🏼
05/03/2025 13:16:47,Physical Science,"No, I had difficulties",Chemistry ,A,C,A,A,B,C,A,A,A,Being a Sportsman (Cricketer),BSc in IT and MBA ,I'm currently employed,Private Sector,5,No,
05/03/2025 13:16:52,Physical Science,"Mostly, but I faced some challenges",Mathematics ,A,A,A,A,A,A,A,A,A,Software Engineer ,Computer Science ,,,,,
05/03/2025 13:17:58,Physical Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,A,A,A,A,A,A,Medicine ,Dental surgeon,,,,,
05/03/2025 13:17:59,Bio Science,"Mostly, but I faced some challenges",Biology ,A,A,A,C,B,A,A,A,A,Manager ,Agricultural technology and management ,,,,,
05/03/2025 13:18:05,Physical Science,"No, I had difficulties",Maths,A,A,B,B,B,B,A,A,A,software engineer ,Computer science ,I'm currently employed,IT / Software Development,3,No,No
05/03/2025 13:18:41,Bio Science,"No, I had difficulties",Bio Science,C,B,A,A,A,B,A,C,C,Business manager ,International Business Management ,,,,,
05/03/2025 13:19:37,Bio Science,"Mostly, but I faced some challenges",Physics,A,A,A,B,A,A,A,A,B,Marketing,Food technologists ,,,,Musician,No thank you
05/03/2025 13:19:37,Physical Science,"Yes, everything went well",Physics,A,A,A,A,A,A,A,B,A,Engineering ,Bsc Engineering ,,,,,
05/03/2025 13:19:58,Technology,"Yes, everything went well",Science for technology ,B,C,B,C,B,C,C,B,C,Event planning ,Business management ,I'm currently employed,Self-Employed,4,,
05/03/2025 13:19:58,Bio Science,"No, I had difficulties",Mathematics,A,B,A,B,A,A,B,A,C,Software Developer,Software Engineering,,,,,
05/03/2025 13:20:14,Technology,"No, I had difficulties",Combined Mathematics,A,A,B,B,B,A,B,B,B,Cyber Security Analyst,Cyber Security,,,,No,
05/03/2025 13:20:55,Physical Science,"Mostly, but I faced some challenges",Physics ,A,A,A,A,A,A,A,A,A,Robotics ,Electrical and electronic engineering (reading),,,,,
05/03/2025 13:25:40,Physical Science,"Mostly, but I faced some challenges",Chemistry,A,A,A,A,A,A,B,A,A,Software Engineering,Software Engineering,I'm currently employed,IT / Software Development,4,Yes Web designing,Good
05/03/2025 13:29:17,Bio Science,"Yes, everything went well",Science ,A,A,A,B,A,A,A,A,A,Entrepreneur ,Agriculture ,,Self-Employed,,,
05/03/2025 13:29:29,Arts,"Yes, everything went well",French,C,C,A,A,A,C,A,C,A,Teaching,BA,I'm currently employed,Private Sector,5,,
05/03/2025 13:31:26,Bio Science,"No, I had difficulties",Chemistry ,A,A,A,A,A,A,A,A,A,Food product development manager ,Bsc (Hon's)Food Science and Technology ,,,,Food product developer ,
05/03/2025 13:32:25,Bio Science,"Mostly, but I faced some challenges",Chemistry ,A,A,A,C,B,A,A,A,A,Entrepreneur,Ict programme in open university ,,Self-Employed,,Bank,Opportunity in Sri Lanka for employment 
